a	一个 每一个
cool	凉的 沉着的 使冷却 使冷静
cooperate	合作 协作
coordinate	同等的 协调的 同等者 协作 协调
cop	警察
cope	"竞争 应付, 处理
copper	铜 铜币 铜器 铜制的 紫铜色的
copy	抄本 书的一册 抄写 复印 复制
copyright	版权 著作权
cord	绳 线 纺织品 小电线 腱
core	果心 核心 要点
corn	谷物 美玉米 英小麦
corner	角落 街角 困境
corporation	公司 市政府
correct	正确的 合适的 改正
correspond	对应于 符合 通信
correspondence	通信 信件 符合 一致 相当 相应
correspondent	通信者 记者 通信员 对应物
corresponding	相应的 相当的
corridor	 走廊 通道
cost	成本 代价 花费 使失去生命等
costly	昂贵的 浪费的
cottage	农舍 小屋 小型别墅
cotton	棉 棉花 棉线 棉制品
cough	咳嗽 咳出
could	的过去式 可能 用来表示请求
council	委员会 理事会
counsel	忠告 劝告 辩护人 忠告 劝告
count	数 计算 认为 有价值 计数 总数
counter	柜台 相反的 反对 反方向地
country	国家的 农村的
countryside	乡村
county	英国县或郡 美州以下最大的行政区
couple	一对 夫妇 两三个 连接 结合
courage	勇气 胆量
course	过程 进程 一道菜 课程 教程
court	法院 法庭 球场 朝廷 院子
courtyard	庭院 天井
cousin	堂表弟 堂表姐妹 同种同族
cover	覆盖 涉及 经过 覆盖物 掩护物 罩
cow	母牛 奶牛
crack	破裂声 裂缝 发出爆裂声 使破裂
craft	工艺 手艺 船 航空器
crane	起重机 鹤 引颈 伸长脖子
crash	碰 坠毁 横冲直撞 破产 碰撞 失败
crawl	爬行 伏地行进
crazy	疯的 荒唐的 狂热的 着迷的
cream	奶油 精华 淡黄色 搅拌成奶油状
create	创造 产生
creative	创造性的 有创造力的
creature	生物 动物 人
credit	信用 赊欠 学分 信任 把…记入贷方
creep	爬 蠕动 爬 蔓延 潜行
crew	全体船员 机组人员 乘务员
crime	罪 犯罪
criminal	刑事的 犯罪的 罪犯 刑事犯
crisis	?赝?
critic	批评家 评论家
critical	批评的 批判的 危急的 关键的 苛求的
criticise	批评 评论 非难
criticism	批评 评论
criticize	批评 评论 非难
crop	庄稼 收成 一批 收割 收成 耕种
cross	十字架 交叉路 穿越 相交 划横线
crossing	横渡大海 河流等 河流渡口
crowd	群 人群 群众 挤满 聚集 群集
crown	王冠 王权 顶部 给…加冕 覆盖
crucial	关键的 决定性的
crude	天然的 粗鲁的 粗糙的 原油
cruel	残酷的 残忍的 痛苦的
cruise	巡航 巡游
crush	压碎 榨
crust	 硬皮
cry	叫 喊 哭 鸟兽叫 啼 鸣 嗥
crystal	水晶 石英晶体 晶粒 水晶的
cube	立方体 立方形 立方 使自乘两次
cue	给演员等所作的提示 提词 暗示 指引
cultivate	耕作 培养 种植
culture	文化 教养 修养
cup	杯子 奖杯 一杯的容量 高尔夫球球洞
cupboard	食橱 碗橱
cure	治愈 治疗
curiosity	好奇心
curious	好奇的
curl	使卷曲 卷发 卷曲物
currency	通货 货币 流通 流行
current	现时的 通用的 水、气、电流 趋势
curriculum	学校、专业的全部课程 必修课程
curse	诅咒 祸因 骂人的话 诅咒 遭受…苦
curtain	窗、门帘 舞台的幕
curve	曲线 弯曲 弄弯 弯曲
cushion	垫子 坐垫
custom	习惯  C海关 关税
customer	顾客, 主顾
cut	切 割 削减
cycle	循环 周期 自行车 使轮转
daily	每日的 日报
dairy	牛奶场 乳品店 乳制品 牛奶的
dam	堤 坝 筑坝
damage	损坏 毁坏 赔偿金 损坏 毁坏
damn	该死 遣责 使失败 十足的 极
damp	潮湿的 打湿
dance	跳舞 舞蹈 舞会
danger	危险 危险物 威胁
dangerous	危险的
dare	敢 竟敢 向…挑战 激 胆敢 敢
dark	黑暗的 深色的 秘密的 黑暗 暗处
darling	可爱的 有魅力的 心爱的人 乖乖
dash	猛冲 猛冲 猛冲 短跑 破折号
data	资料 数据
date	日期 约会 给…注明日期 起
daughter	女儿
dawn	黎明 开始 破晓 开始出现
day	一日 白天
daylight	日光 白昼 黎明
dead	死的 无知觉的 无声响的 完全地
deadline	截止时间 截止日期
deaf	聋的 不愿听的
deal	处理 对付 分给 给予 交易
dear	亲爱的 珍贵的 昂贵的 啊 亲爱的
death	死亡
debate	辩论 争论 辩论 争论 考虑 思考
debt	债务
decade	十年 十
decay	衰退 腐败 使衰退 使腐败
deceive	欺骗 蒙骗
december	十二月
decent	庄重的 正派的 大方的 服装等相称的
decide	决定 决心 裁决 解决 选定
decision	决定 决心
deck	甲板 桥面 层面
declaration	宣布 宣告 宣言
declare	宣告 宣布 声明 断言 申报纳税物品
decline	下降 倾斜 衰败 拒绝 衰落 下降
decorate	装饰 布置 授…以殊荣
decrease	减少 减弱 降低
deed	行为 行动 功绩 事迹 契约 证书
deep	深的 深刻的 深奥的 强烈的 深深地
deer	鹿
defeat	战胜 挫败 击败 战胜
defect	缺点 缺陷 变节 投敌 脱党
defence	保卫 防御工事 答辩
defend	保卫 防卫 为…辩护
defense	保卫 防御工事 答辩
define	解释 给…下定义 限定
definite	明确的 肯定的
definitely	一定地 肯定地 明确地 确切地
definition	定义 解释 轮廓等的清晰
degree	度数 程度 学位
delay	推迟 耽误
delegate	代表 授权 委托
delete	删除
deliberate	故意的 深思熟虑的 仔细考虑
delicate	巧妙的 优雅的 精致的 微妙的
delicious	美味可口的 芬芳的 有趣味的 妙的
delight	欣喜 愉快 嗜好 使喜悦
deliver	救出 投递
delivery	投递 送交 交付 交货 分娩
demand	要求 需要
democracy	民主政治 民主国家
democratic	民主政体的 民主作风的 民众的
demonstrate	论证 说明 表示感情 演示 示威
dense	密集的 稠密的 烟、雾等浓密的
density	密度 稠密度
dental	牙齿的 牙科的
deny	否认 拒绝给予
depart	离开 出发 火车等开行
department	部 部门 系
departure	离开 出发
depend	,取决于 靠 依赖 信任
dependent	依靠的 从属的
deposit	存放 储蓄 使沉淀 放下 存款
depress	使沮丧 使低沉 降低 压低 使萧条
depression	抑郁 沮丧 萧条期 洼地 低压地区
depth	深度 深厚
deputy	代理人 代表 副…
derive	起源 得自
descend	下来 下降
describe	描绘 描写 形容 把…说成
description	描写 描述 说明书 作图
desert	沙漠 不毛之地 离弃 擅离 开小差
deserve	应受到 值得
design	设计 计划 图纸 设计 构思 图案
desirable	称心如意的 值得向往的
desire	愿望, 欲望 要求
desk	书桌 服务台
despair	绝望
desperate	不顾一切的 绝望的
despite	不管 尽管 不论
dessert	甜食 点心
destination	目的地
destroy	毁坏 毁灭 消灭
destruction	毁坏 消灭
detail	细节 详情 枝节 详述 详细说明
detect	察觉 发现 侦察
detection	察觉 发觉 侦察 探测
detective	侦察用的 侦探
determination	决心 决定 测定 诉讼的终止
determine	决定 决心 测定 确定
develop	使发达 开发 研制 使显影 发育
development	发展 新事物 开发 研制
device	设计 手段 谋略 诡计 装置 设备
devil	魔鬼
devise	设计 发明
devote	把…奉献给 致力于
diagram	图解 图表
dial	钟表等的针盘 刻度盘 拨电话号码
dialect	方言
dialog	问答 对话
dialogue	问答 对话
diameter	直径
diamond	钻石 金刚石 菱形 纸牌红方块
diary	日记簿 日记
dictate	使听写 口授 口述
dictation	口授笔录 听写
dictionary	词典 字典
die	死 死亡 草木枯萎 凋谢 渴望
diet	饮食 食物 规定饮食 使节食
differ	不同 意见不同
difference	差异 差别 争论 不和
different	不同的 各种的
difficult	困难的 艰难的 难应付的 难满足的
difficulty	困难 难事 困境
dig	挖 探究 捅 发掘的地点或遗迹
digest	文摘 摘要 消化 吸收 领会
digital	数字的
dim	昏暗 模糊不清的 使暗淡
dimension	尺寸 维度 面积 体积
dinner	正餐 宴会
dip	浸 泡 浸 沉落 浏览
diplomatic	外交的 外交工作的
direct	直接的地 指示 导演
direction	方向 方位 指导 指挥 用法说明
directly	直接地 马上
director	指导者 董事 校长 指挥 导演
dirt	尘 土 污物 下流话 脏话
dirty	脏的 手段等卑鄙的 下流的 弄脏
disappear	消失 不见 消亡 失踪
disappoint	使失望 使计划等落空
disaster	灾难 灾祸
disc	圆盘 唱片 磁盘 圆面 盘状软骨
discard	抛弃 扔掉
discharge	排出 放出 允许…离开 释放 放电
discipline	纪律 训练 学科 训练 惩罚
discount	折扣 对…打折 认为…不足轻重
discourage	使泄气 劝阻
discover	发现 看出 暴露 显示
discovery	发现
discuss	讨论 商议 议论 详述
discussion	讨论 议论
disease	疾病
disguise	假装 化装服 假装 扮作 隐瞒
disgust	讨厌 使讨厌 使恶心
dish	碟 盘 菜肴 一道菜
disk	圆盘 唱片 磁盘
dislike	不喜欢 不喜欢 厌恶
dismiss	解雇 解散 解散
disorder	混乱 杂乱 骚动 疾病 使紊乱
display	显示 表现 陈列 展览
disposal	配置 布置 排列 处置 处理
dispose	配置 布置 处理 处置 支配 除掉
dispute	争论 争吵
dissolve	使溶解 融化 解放 取消 使衰弱
distance	距离
distant	在远处的 久远的
distinct	不同的 明显的 清楚的
distinction	差别 不同 区分 辨别 清晰度
distinguish	区别 分清 表现突出 显出特色
distress	苦恼 痛苦 不舒适 不幸 使悲痛
distribute	分配 分发 分送 分布
distribution	分发 分配 散布 分布
district	区 地区 行政区
disturb	搅乱 打扰 使不安
ditch	沟 渠道 在…上开沟 摆脱 抛弃
dive	跳水 潜水 俯冲 低级夜总会 跳水
diverse	不同的 多种多样的
divide	划分 分开 分配 分裂 除
division	分 分开 分配 隔开 部门
divorce	离婚 分离 脱离
do	构成疑、否句 做 学习 做
doctor	医生 博士
document	公文 文件 文档
dog	狗 雄兽 尾随 跟踪
doll	玩偶 玩具娃娃 把…打扮得花技招展
dollar	美元 元
domestic	国内的 家庭的 家用的 驯养的
dominant	支配的 统治的 占优势的
dominate	支配 统治 高出于 居支配地位
donation	捐赠 赠送 捐赠物 捐款
donkey	驴 笨蛋
door	门 入口
dorm	宿舍
dormitory	集体宿舍
dose	药的剂量 一服 给药 给…服药
dot	点 小数点 打点于 好缀 敲打
double	两倍的 双人的 使加倍
doubt	怀疑 不一定 未肯定 怀疑 不相信
doubtful	怀疑的 可疑的 难料的
down	向下 沿着…往下 向下方的
downstairs	在楼下 楼下的
downtown	往或在城镇中心区闹市区的
downward	向下的 下行的
dozen	一打 十二个
draft	草稿 草图 汇票 起草 草拟
drag	拖 拉 拖 缓慢地移动 故意拖延
dragon	龙
drain	排水 使流出 排水管 水沟 消耗
drama	戏剧 剧本
dramatic	戏剧的 引人注目的 给人留下深刻印象的
draught	 气流,草稿,汇票,牵引,拉,通风
draw	画 抽取 汲取 拉 平局 图画 绘画
drawer	抽屉
drawing	图画 素描
dream	梦 梦想 做梦 幻想
dress	穿衣 打扮 衣服 女装
drift	漂流 意见 堆积物 冲洗 使漂流
drill	钻 钻孔 操练
drink	饮料 酒 饮料 喝 喝酒
drip	滴下 漏水 水滴
drive	驾驶 用车送 驾驶 驾驶 驱动器
driver	驾驶员 司机
drop	滴 下降 微量 落差 使滴下 下降
drown	淹死 淹没
drug	药品 麻醉品 毒品 用药麻醉
drum	鼓声 鼓状物 鼓膜
drunk	酒醉的
dry	干的 口渴的 干巴巴的 使变干
duck	鸭 鸭肉
due	预定的 应得的 应有的 到期的
dull	枯燥的 迟钝的 天气等阴郁的
dumb	哑的 沉默的 笨的
dump	倾倒 向国外市场倾销 垃圾场
durable	耐久的 持久的
duration	持续 持久 期间
during	在…的期间
dusk	黄昏
dust	尘土 去掉灰土
duty	职责 义务 税 关税
dye	颜料 染料 染 染色
dynamic	有生气的 能活动的 有力的 动力的
each	各自的 每 每个 各自
eager	热切的 渴望的
eagle	鹰
ear	耳朵 耳状物 听力 听觉
early	早 在初期 最早 早期的 早熟的
earn	挣得 获得
earnest	认真的
earth	地球 土地 陆地 土 泥
earthquake	地震
ease	容易 安逸 安心 缓和 减轻
east	东 东方 在东方 向东方
eastern	东方的 东部的
easy	容易的 舒适的 安逸的
eat	吃
echo	回声 回响 共鸣
economic	经济学的 经济上的
economical	节省的 经济学的
economy	经济 节约
edge	边 边缘 刀口 刃
edit	编辑
edition	版 版本
editor	编者 编辑
editorial	社论
educate	教育 培养 训练
education	教育 培养
effect	结果 效果 影响 产生 招致
effective	有效的 卓有成效的
efficiency	有效的 生效的
efficient	有效率的 生效的
effort	努力 尝试
egg	蛋 卵 鸡蛋
eight	八个
eighteen	十八
eighth	第八
eighty	八十
either	两者中任一的 任一个 也不
either...or	或者…或者 不是…就是
elaborate	精细的 详尽的
elastic	弹性的 灵活的 易顺应的 橡皮圈
elbow	肘 用肘推 挤进
elder	年龄较大的 年长的 长者 较大者
elderly	上了年纪的 垂老的
elect	选举 选择 侯选的
election	选举
electric	电的 带电的 电动的 刺激的
electrical	与电有关的 电气的 用电的
electricity	电
electron	电子
electronic	电子学的
elegant	优雅的 优美的 精致的
element	成分 要素 元素
elementary	初等的 基本的 容易回答的
elephant	大象
elevator	电梯 升降机美语
eleven	十一
eliminate	消灭 除去 排出
else	其它的 另外的
elsewhere	在别处 到别处
e-mail	电子邮件
email	电子信箱
embarrass	使窘迫 使为难
embassy	大使馆
embrace	拥抱 包含
emerge	出现 浮出 问题冒出 事实暴露
emergency	紧急情况 突发事件
emit	散发 发射
emotion	感情 情绪 激动
emotional	感情的 情绪的 情绪化的
emperor	皇帝
emphasis	加强语气 强调 重点
emphasise	加强…的语气 强调 着重
emphasize	加强…的语气 强调 着重
empire	帝国
employ	使用 雇用
employee	雇员 受雇者
employer	雇用者 雇主
employment	工作 雇用 使用
empty	空的 空洞的 空虚的 倒空 空箱
enable	使能够用
enclose	围住 封入 附上
encounter	遭遇到 偶遇 遭遇
encourage	鼓励 激励 支持
end	端 末梢 目标 结束 终止 结束
ending	结尾 结局
endless	无止境的 无穷的 没完没了的
endure	忍耐, 忍受
enemy	敌人 敌军 仇人 危害物
energy	活力 精力 能力 能 能量
enforce	实施 执行 强制 强迫 加强 坚持
engage	使从事于 占用时间 从事
engine	发动机 引擎 火车头
engineer	工程师 技师 船上的轮机手
engineering	工程学
enhance	提高 增强
enjoy	享受…之乐 欣赏 享有
enlarge	扩大 扩展 扩充 放大
enormous	巨大的 庞大的
enough	充足的地 足够的地 足够
enquire	询问
enquiry	询问
ensure	保证 担保 确保
enter	进入 加入 参加
enterprise	企事业单位 事业心 进取心 冒险精神
entertain	使感兴趣 招待 持有意见 见解等
entertainment	招待 款待 娱乐 表演节目
enthusiasm	热情 热心 积极性
entire	全部的 完整的
entitle	给书、文章等题名 给予…以权利
entrance	进入 入口 门口 入场 入会 入学
entry	进入 入口 通道 登记
envelope	信封
environment	环境
envy	妒忌 羡慕
episode	插曲 片段
equal	相等的 胜任的 同辈 比得上
equality	同等 平等 等式
equation	方程式
equip	装备 配备
equipment	设备 器材
equivalent	相等的 等价的 同等物 等价物
era	纪元 时代 年代
erect	直立的 笔直的 使竖立 树立
error	错误 谬误
escape	逃跑 逃跑 逃脱 被…忘掉 逃避
especially	特别 尤其 格外
essay	小品文 随笔 文章
essential	根本的 必要的 本质 要点
establish	建立 设立 确定 使确认 安顿
establishment	创建 制定 设施 公司
estate	房地产 地产 个人财产 遗产 阶层
estimate	估计 评价 判断
evaluate	评价 评估
eve	节日的前夜 前夕
even	甚至 更加 平坦的 对等的 偶数的
evening	晚上 傍晚
event	事件 大事
eventually	终于 最后
ever	总是 在任何时候 究竟
every	每 每个 每隔…的
everybody	每个人 人人
everyday	每天的 日常的
everyone	每个人 大家
everything	一切事 每件事
everywhere	处处 无论何处
evidence	根据 证据 迹象
evident	明显的 明白的
evidently	明显地 显而易见
evil	邪恶 罪恶 邪恶的 罪恶的
evolution	进化 演化
evolve	使发展 使进化
exact	确切的 精确的
exaggerate	夸张 夸大
exam	考试 检查
examination	考试 测试 检查 检验
examine	检查 对…考查考试 调查
example	例子 例证 范例 榜样
exceed	超过限度 范围 比…大 胜过
exceedingly	过份地
excellent	优秀的 杰出的
except	除…之外 把…除外 不计
exception	例外 除外
excess	超越 超过 超额量 过量的 额外的
excessive	过多的 过分的 极度的
exchange	兑换 调换 交换
excite	使激动 激发
excitement	激动 兴奋状态
exciting	令人兴奋的 使人激动的
exclaim	大叫 呼喊 大声叫
exclude	把…除外 排斥
exclusive	独家新闻 排外的 专有的 独占的
excursion	远足 集体游览 短途旅行
excuse	原谅 免除某人的责任 借口 理由
execute	处决 实施 执行
executive	实行的 行政部门 行政官
exercise	练习 锻炼 实施 锻炼 练习 锻炼
exert	尽力 发挥 施加
exhaust	用尽 气体等排出 排气 用不完的
exhibit	显示 呈现 展示 陈列 展品 呈现
exhibition	展览 展览会品
exist	存在 生存
existence	存在 生存
exit	出口 安全门 演员退场 退出 退出
expand	扩大 展开 扩张
expansion	伸展 扩张 膨胀
expect	期待 预期 盼望 认为 指望 希望?
expectation	期待 期望
expense	花费 费用
expensive	昂贵的 奢侈的
experience	经验 阅历 经历 体验 体验 感受
experiment	试验 实验 ,,做实验
experimental	实验上的 经验上的
expert	专家 能手 熟练的 内行的
explain	解释 说明 可作解释的事物
explanation	解释 说明
explode	使爆炸 爆发 爆炸
exploit	剥削 开拓 开发 利用
explore	勘探 探险 调查
explosion	爆炸 爆发 激增
explosive	爆炸性的 炸药 易爆炸物
export	出口商品 出口 输出 出口 输出
expose	使暴露 使面临 使感光 使曝光 揭露
exposure	暴露 面临 揭露 揭发 曝光
express	表示 表达 快递业务 快车
expression	表达 表示 表现 措辞 词句 表情
extend	延伸 延长 扩充 给予 伸出 伸展
extension	伸展部分 延伸部分 电话的分机
extensive	广泛的 广阔的 广大的
extent	范围 广度 范围
exterior	外部的 外在的 表面的
external	外部的 外面的 外部 外面
extra	额外的 特别地 额外的事物
extraordinary	异常的 非凡的
extreme	极端的 尽头的 极端 两极端
eye	眼睛 眼力 鉴赏力
eyesight	视力
fabric	编织物 结构 组织
face	脸 外观 器具的使用面 票面 面对
facility	便利 设备 熟练 灵巧 方便
fact	事实 真相 事情
factor	因素
factory	工厂
faculty	能力 才能 学科 系 院系全体教职工
fade	褪色 逐渐消失
fail	失败 衰退 使失望 使不及格
failure	失败 失灵 故障 失败的人或事 没做到
faint	微弱的 微小的 暗淡的 晕倒 昏厥
fair	定期集市 交易会 公平的 晴朗的
fairly	相当地 公正地
fairy	妖精 仙女
faith	信任 信念 信仰 忠实
faithful	忠实的 如实的
fall	落下 秋季 瀑布 落下 下降 倒
false	不正确的 假的 伪造的 虚伪的
fame	名誉 声望
familiar	熟悉的 熟知的
family	家 家庭 家族 氏族 尤指动植物的系
famine	饥荒
famous	著名的
fan	扇子 风扇 爱好者 扇 成扇形展开
fancy	想象力 爱好 别致的 想象 想要
fantastic	奇异的 怪诞的 异想天开的
fantasy	想象 幻想 想象的产物
far	远的 久远的 遥远的 远 到…程度
fare	车费 票价 食物 过活 生活 进展
farewell	再会 告别 欢送会
farm	农场 农庄 饲养场 耕种 种地
farmer	农夫 农场主
farther	更远地 更远的
fascinating	迷人的
fashion	时尚 时装 风格 式样
fashionable	流行的 时髦的
fast	快的 坚固的 紧紧地 禁食 斋戒
fasten	使固定 系牢 绑紧 扣紧
fat	脂肪 肥胖的 脂肪多的
fatal	致命的
fate	命运 结局 结果 将来 前景
father	父亲 创始人 F神父 上帝
fatigue	疲劳 疲乏
fault	过失 缺点 故障
faulty	有错误的 不完善的
favor	好感 赞成 恩惠 喜爱 支持
favorable	有利的 赞同的 满意的
favorite	最喜爱的 最喜爱的人或物
favour	赞赏 偏袒 恩惠 偏爱 赞同
favourable	有利的 赞同的 满意的
favourite	心爱的 特别受人喜欢的人物
fax	传真
fear	恐惧 害怕 担心
fearful	可怕的 担心的
feasible	可行的 可能的
feather	羽毛
feature	特征 特色 五官之一 报纸的特写
february	二月
federal	联邦的
fee	酬金 费如学费、手续费等
feed	喂养 吃饲料 动物、婴儿的一餐
feedback	反馈 反应
feel	触 摸 认为 以为 摸索 觉得
feeling	感情 感觉 知觉
fellow	人 家伙 同伴 同事 同伴的 同类的
female	雌性的 女性的 女子 雌性的动物
fence	栅栏 击剑 用栅栏…围起来 击剑
fertile	肥沃的 能繁殖的
fertilizer	化肥
festival	节日 音乐节
fetch	拿来 找来
fever	发烧 热病 狂热 使发烧 使发狂
few	很少的 几乎没有的
fiber	纤维 纤维质 质地 结构
fibre	纤维 光纤
fiction	小说 虚构、杜撰
field	田野 运动场 领域
fierce	狂暴的 凶猛的 残酷的 巨大的 强烈的
fifteen	十五
fifth	第五 五分之一
fifty	五十
fight	战斗 斗争 战斗力 打仗 斗争 争论
figure	扮演角色 认为 数字 外形 人物
file	档案 计算机文件 把…归档
fill	使充满 占据 补缺
film	影片 胶卷 薄层 把…拍成电影
filter	滤纸 过滤器 过滤
final	最后的 决定性的 决赛
finally	最后 终于 不可更改地 完全地
finance	财政 金融 为…提供资金
financial	财政的 金融的
find	找到 发展 达到
finding	发现物 常用复数研究结果
fine	美好的 纤细的 罚款 罚…的款
finger	手指 指状物
finish	完成 磨光 终了 最后阶段 完成
fire	火 射击 解雇 着火 射击
fireman	消防队员
firm	结实的 坚定的 商行 公司
first	第一 最初的 最初 一级品?
fish	鱼 钓鱼 捕鱼
fisherman	渔夫
fist	拳 拳头
fit	适当的 健康的 使适合 安装 病发作
five	五个
fix	使固定 安排 修理 准备食物等
flag	旗帜
flame	火焰 热情 发火焰 燃烧 感情爆发
flash	闪光 简短的新闻电讯 闪光 飞驰
flat	平的 单调的 一套房间 完全地
flavor	味道 风味 给…调味
flavour	给…调味
flee	逃走 消散 逃离 逃避
fleet	舰队 港湾 小河
flesh	肉 果子肉 肉体 肌肤
flexible	易弯曲的 灵活的
flight	飞行 航班 一段楼梯 逃跑
float	漂浮物 储备金 使漂浮
flock	兽群 鸟群
flood	洪水 淹没 灌溉 泛滥 大量涌到
floor	地板 楼层 发言权 在…上铺地板
flour	面粉
flourish	繁荣 兴旺 挥舞 挥动 炫耀 挥舞
flow	流 流量速 涨潮 泛滥洪水 流动
flower	花 精华 精粹 精英 盛时 开花
fluent	流利的 流畅的
fluid	液体 流体 流动的 易变的 流体的
fly	苍蝇 飞行 飞 乘飞机 驾驶飞机
focus	使聚焦 使集中 焦点
fog	雾气 雾 以雾笼罩 被雾笼罩
fold	折叠 褶痕 折页 折叠处
folk	人们 民间的
follow	跟随 沿着…前进 跟随 紧接
following	接着的 下列的 下列 下述
fond	喜欢的
food	食物
fool	蠢人 愚弄
foolish	愚蠢的 可笑的
foot	足 底部 英尺
football	足球比赛
footstep	脚步声
for	为了 给 代替 向 支持 因为?
forbid	禁止 阻止
force	力量、气 压力 军队 强制
forecast	预测 预报 预测 预报
forehead	前额
foreign	对外的 无关的 外来的 非…的本性的
foreigner	外国人
forest	森林
forever	永远
forge	打铁等 锻造 伪造
forget	遗忘 忘却 忘掉 编造谎言 忘记
forgive	原谅 免除债务等
fork	叉 分岔
form	形式 类型 格式 形成
formal	正式的 规格化的 礼仪上的
format	样式 书刊的版式 为书刊安排版式
formation	组织 形成物 构成 地岩层
former	以前的 在前的
formula	公式 配方 外方 规则 一定的做法
forth	向前 以后
fortnight	两星期
fortunate	幸运的
fortunately	幸运地 幸亏
fortune	命运 运气 财产
forty	四十
forward	向前的 进步的 向前 促进 转交
found	奠定…基础 创办
foundation	建设 基础 基金会
fountain	喷泉
four	四个
fourteen	十四个
fox	狐狸 狡猾的人
fraction	微量 碎片 分数
fragment	碎屑 片断
frame	构架 骨架 身躯 骨骼 门、窗框
framework	支架 框架 基本结构
frank	直率的
free	自由的 免费的 ,使自由"
freedom	自由
freeze	使结冰 冻结存款、工资、物价等
freight	货运费 运输 装货于
frequency	屡次 频繁 频率 周率 发生次数
frequent	频繁的 时常发生的 常见的 经常的
fresh	新的 新鲜的 水淡的 清新的 另外的
friday	星期五
fridge	= 冰箱
friend	朋友 友人 支持者 同情者
friendly	友善的 友谊的
friendship	友谊 友情 友好
frighten	使惊吓 吓唬 惊恐 害怕
frog	蛙
from	从…起 由于 因为 离 从 由
front	正面 前面的
frontier	国境 边境 边疆 尖端 新领域
frost	冰冻 严寒 霜 结霜 使结霜 下霜
frown	皱眉头
fruit	水果 果实 成果 结果
fruitful	多产的 有成效的
frustrate	破坏 阻挠 使失败 使泄气
fry	油煎 油炸
fuel	燃料 养料 给…加燃料 刺激 推动
fulfil	履行诺言等 完成计划等 达到
fulfill	履行诺言、责任等 完成 达到
full	全部 充分 正好 满的 完全的
fun	娱乐 乐趣 嬉戏 顽皮 有趣的人或事物
function	功能 职务 函数 机器运行
fund	资金 存款 物质资源的储备
fundamental	基本的 根本的 重要的 基本原则
funeral	葬礼的
funny	滑稽的 好笑的 古怪的 稀奇的
fur	软毛 皮毛 皮衣
furnace	火炉 熔炉
furnish	提供 供应 装备 布置
furniture	家具 器具 装置 设备
further	更远地 而且 另外的 更远的
furthermore	而且 此外
fuss	大惊小怪 小题大作 忙乱
future	未来 前途 远景
gain	获得 钟表走快 受益 增加 收益
gallery	长廊 画廊 矿坑中的地下坑道
gallon	加仑液量单位
game	游戏 比赛项目 运动会
gang	一群 一伙
gaol	= 监狱 使…坐牢
gap	缺口 裂口 间隔 空白 差距
garage	车库 常兼汽车修理、销售业务的加油站
garbage	垃圾 废料
garden	花园 庭园 从事园艺活动
gardener	花匠 园艺工
garlic	大蒜
gas	煤气 可燃气 气体 汽油
gasoline	= 美语汽油
gate	大门 阀门 闸门
gather	集合 聚集 采集 收集 逐渐增加 推测
gay	快乐的 鲜艳的 同性恋的 同性恋者
gaze	凝视 注视
gear	齿轮 传动装置 用具 装备 开动
gene	基因 遗传因子
general	总的 普遍的 首席的 将军 上将
generally	通常地 普遍地 大体上
generate	使发生 产生光、热、电等 引起
generation	一代人 发生 产生 生育
generator	发电器 发电机
generous	慷慨的 大方的 丰富的
genius	天才 天赋 有天才的人
gentle	温柔的 文雅的 柔和的 高尚的
gentleman	有身份的 先生 绅士
genuine	真实的 真正的 真心的 真诚的
geography	地理学
geometry	 几何学
germ	微生物 细菌
gesture	手势 姿态 表示 做手势
get	获得 使得 感染疾病 到达
ghost	鬼 鬼魂 幽灵
giant	巨人 巨大生物 巨人般的 巨大的
gift	赠品 礼物 天赋 才能
girl	少女 女孩 姑娘
give	给予 传递消息 发布命令 赠送
given	考虑到 特定的 规定的
glad	高兴的 情愿的
glance	扫视 匆匆一看 一瞥 扫视
glass	玻璃 玻璃杯 眼镜 玻璃制品
glimpse	一瞥 一看 瞥见
global	地球的 全球的 环球的 全局的
globe	地球 地球仪 球形物体
glorious	辉煌的 壮丽的 光荣的
glory	光荣 荣誉 壮丽 壮观
glove	手套
glow	发白热光 身体发热 白热光 激情
glue	胶 胶水 用胶水粘合
go	离开 变成 运行 被放置 流通
goal	目标 目的地 球门 进球得分
goat	山羊
god	神 上帝
gold	黄金 金币 金的 金制的 金色的
golden	金色的 黄金的 金制的 极好的
golf	高尔夫球
good	好的 善行 利益
goodby(e)	再见
goodness	善良 仁慈 美德 善行 天哪
goose	鹅
govern	统治 治理 支配 决定
government	政府 管理 支配
governor	州长 总督 统治者 主管 理事
grab	强夺 摄取 抓取
grace	优美 雅致 风度 魅力
graceful	优美的 优雅的 得体的 适度的
grade	等级 成绩 给…分等级 给…评分
gradual	逐渐的 逐步的
graduate	大学毕业生 研究生 毕业 授予学位
grain	谷物 谷类 颗粒 细粒
gram	克
grammar	语法书
gramme	克
grand	重大的 雄伟的 庄重的 豪华的
grandfather	祖父 外祖父
grandmother	外祖母
grant	拨款 准许 准许 授予 同意
grape	葡萄
graph	曲线图 图表
grasp	抓紧 抓牢 领会 理解
grass	草 草地
grateful	感激的 感谢的 令人愉快的
gratitude	感激 感谢
grave	严重的 严肃的 庄严的 墓穴 坟墓
gravity	地心引力 重力 庄重 严肃 严重
gray	灰色的
great	伟大的 重要的 巨大的 十足的
